Type	Size	Format method	File system	Cluster size	Compression
Single	10	Quick	FAT	32768	On
RAID-5	40000	Slow	NTFS	16384	Off
Mirror	500	Slow	FAT32	2048	On
Stripe	1000	Quick	FAT	2048	Off
Span	10	Quick	FAT32	1024	Off
Span	1000	Slow	NTFS	32768	On
Single	500	Quick	NTFS	65536	Off
RAID-5	5000	Slow	FAT	65536	On
Mirror	10000	Quick	FAT	16384	On
Stripe	10000	Slow	NTFS	8192	Off
Stripe	1000	Slow	FAT32	512	On
Mirror	100	Slow	FAT32	32768	Off
Mirror	10	Slow	NTFS	4096	On
Span	100	Quick	FAT	4096	Off
Single	40000	Slow	FAT	1024	On
RAID-5	10000	Quick	FAT32	512	Off
Span	5000	Quick	NTFS	2048	Off
RAID-5	1000	Quick	FAT	8192	On
Span	40000	Quick	FAT32	65536	Off
Single	100	Slow	NTFS	2048	On
Single	10	Slow	FAT32	16384	Off
Single	10000	Quick	FAT32	4096	Off
Stripe	10	Slow	FAT32	65536	Off
Span	500	Slow	FAT	8192	On
Mirror	5000	Slow	NTFS	1024	On
Single	5000	Slow	FAT32	8192	Off
Stripe	40000	Quick	FAT	32768	On
RAID-5	5000	Quick	FAT32	32768	Off
Span	10	Quick	NTFS	512	On
RAID-5	10	Quick	FAT32	2048	Off
Stripe	500	Slow	FAT	16384	On
RAID-5	100	Quick	FAT32	1024	On
Single	100	Quick	FAT	512	On
Mirror	40000	Slow	NTFS	8192	On
Single	1000	Quick	FAT32	4096	On
RAID-5	500	Slow	FAT	32768	On
Span	10000	Quick	NTFS	32768	Off
Stripe	100	Slow	FAT	16384	Off
Mirror	500	Slow	FAT	512	Off
Mirror	100	Slow	FAT	65536	On
Span	1000	Slow	NTFS	16384	Off
Mirror	1000	Quick	NTFS	1024	Off
Stripe	10000	Slow	NTFS	1024	Off
RAID-5	500	Slow	FAT32	4096	On
Stripe	5000	Slow	NTFS	16384	On
Stripe	5000	Slow	FAT	4096	Off
RAID-5	500	Slow	NTFS	1024	On
Single	1000	Quick	FAT32	65536	Off
Single	100	Slow	NTFS	8192	Off
Single	5000	Quick	FAT	512	Off
Mirror	10000	Quick	NTFS	2048	On
Mirror	40000	Quick	NTFS	4096	Off
Single	40000	Quick	FAT32	512	Off
Single	40000	Slow	FAT32	2048	On
Single	10	Quick	FAT32	8192	Off
Stripe	10000	Slow	FAT	65536	Off
